   J  Sym   #        Energy    g Population Name J Ka Kc     
  13   O-   1        7.3994   27 .000129832 v=0 13  1 13     
  13   O-   2       10.9538   27 .000127637 v=0 13  3 11     
  13   O-   3       17.9696   27 .000123414 v=0 13  5  9     
  13   O-   4       28.4936   27 .00011734  v=0 13  7  7     
  13   O-   5       42.5255   27 .000109703 v=0 13  9  5     
  13   O-   6       60.0655   27 .000100852 v=0 13 11  3     
  13   O-   7       81.1135   27 9.11689e-5 v=0 13 13  1     
  14   E+   1        8.0819   29 .000138993 v=0 14  0 14     
  14   E+   2        9.8416   29 .000137825 v=0 14  2 12     
  14   E+   3       15.1012   29 .000134392 v=0 14  4 10     
  14   E+   4       23.8711   29 .000128857 v=0 14  6  8     
  14   E+   5       36.1491   29 .000121488 v=0 14  8  6     
  14   E+   6       51.9350   29 .00011263  v=0 14 10  4     
  14   E+   7       71.2290   29 .000102676 v=0 14 12  2     
  14   E+   8       94.0310   29 9.20398e-5 v=0 14 14  0     
  14   E-   1        9.8385   29 .000137827 v=0 14  2 13     
  14   E-   2       15.1012   29 .000134392 v=0 14  4 11     
  14   E-   3       23.8711   29 .000128857 v=0 14  6  9     
  14   E-   4       36.1491   29 .000121488 v=0 14  8  7     
  14   E-   5       51.9350   29 .00011263  v=0 14 10  5     
  14   E-   6       71.2290   29 .000102676 v=0 14 12  3     
  14   E-   7       94.0310   29 9.20398e-5 v=0 14 14  1     
  14   O+   1        8.5752   29 .000138665 v=0 14  1 13     
  14   O+   2       12.0319   29 .000136385 v=0 14  3 11     
  14   O+   3       19.0477   29 .000131872 v=0 14  5  9     
  14   O+   4       29.5716   29 .000125382 v=0 14  7  7     
  14   O+   5       43.6036   29 .000117222 v=0 14  9  5     
  14   O+   6       61.1435   29 .000107764 v=0 14 11  3     
  14   O+   7       82.1915   29 9.74172e-5 v=0 14 13  1     
  14   O-   1        8.4703   29 .000138735 v=0 14  1 14     
  14   O-   2       12.0319   29 .000136385 v=0 14  3 12     
  14   O-   3       19.0477   29 .000131872 v=0 14  5 10     
  14   O-   4       29.5716   29 .000125382 v=0 14  7  8     
  14   O-   5       43.6036   29 .000117222 v=0 14  9  6     
  14   O-   6       61.1435   29 .000107764 v=0 14 11  4     
  14   O-   7       82.1915   29 9.74172e-5 v=0 14 13  2     
  15   E+   1        9.2359   31 .000147759 v=0 15  0 15     
  15   E+   2       10.9974   31 .000146516 v=0 15  2 13     
  15   E+   3       16.2563   31 .000142867 v=0 15  4 11     
  15   E+   4       25.0261   31 .000136983 v=0 15  6  9     
  15   E+   5       37.3041   31 .000129149 v=0 15  8  7     
  15   E+   6       53.0901   31 .000119733 v=0 15 10  5     
  15   E+   7       72.3840   31 .000109151 v=0 15 12  3     
  15   E+   8       95.1860   31 9.78439e-5 v=0 15 14  1     
  15   E-   1       10.9934   31 .000146519 v=0 15  2 14     
  15   E-   2       16.2563   31 .000142867 v=0 15  4 12     
  15   E-   3       25.0261   31 .000136983 v=0 15  6 10     
  15   E-   4       37.3041   31 .000129149 v=0 15  8  8     
  15   E-   5       53.0901   31 .000119733 v=0 15 10  6     
  15   E-   6       72.3840   31 .000109151 v=0 15 12  4     
  15   E-   7       95.1860   31 9.78439e-5 v=0 15 14  2     
  15   O+   1        9.7375   31 .000147404 v=0 15  1 14     
  15   O+   2       13.1871   31 .000144985 v=0 15  3 12     
  15   O+   3       20.2027   31 .000140188 v=0 15  5 10     
  15   O+   4       30.7266   31 .000133288 v=0 15  7  8     
  15   O+   5       44.7586   31 .000124614 v=0 15  9  6     
  15   O+   6       62.2985   31 .00011456  v=0 15 11  4     
  15   O+   7       83.3465   31 .00010356  v=0 15 13  2     
  15   O+   8      107.9025   31 9.2055e-5  v=0 15 15  0     
  15   O-   1        9.6175   31 .000147489 v=0 15  1 15     
  15   O-   2       13.1870   31 .000144986 v=0 15  3 13     
  15   O-   3       20.2027   31 .000140188 v=0 15  5 11     
  15   O-   4       30.7266   31 .000133288 v=0 15  7  9     
  15   O-   5       44.7586   31 .000124614 v=0 15  9  7     
  15   O-   6       62.2985   31 .00011456  v=0 15 11  5     
  15   O-   7       83.3465   31 .00010356  v=0 15 13  3     
  15   O-   8      107.9025   31 9.2055e-5  v=0 15 15  1     
  16   E+   1       10.4668   33 .000156366 v=0 16  0 16     
  16   E+   2       12.2304   33 .000155049 v=0 16  2 14     
  16   E+   3       17.4884   33 .000151188 v=0 16  4 12     
  16   E+   4       26.2582   33 .000144961 v=0 16  6 10     
  16   E+   5       38.5361   33 .000136672 v=0 16  8  8     
  16   E+   6       54.3221   33 .000126707 v=0 16 10  6     
  16   E+   7       73.6160   33 .000115508 v=0 16 12  4     
  16   E+   8       96.4180   33 .000103543 v=0 16 14  2     
  16   E+   9      122.7280   33 9.12684e-5 v=0 16 16  0     
  16   E-   1       12.2252   33 .000155053 v=0 16  2 15     
  16   E-   2       17.4884   33 .000151188 v=0 16  4 13     
  16   E-   3       26.2582   33 .000144961 v=0 16  6 11     
  16   E-   4       38.5361   33 .000136672 v=0 16  8  9     
  16   E-   5       54.3221   33 .000126707 v=0 16 10  7     
  16   E-   6       73.6160   33 .000115508 v=0 16 12  5     
  16   E-   7       96.4180   33 .000103543 v=0 16 14  3     
  16   E-   8      122.7280   33 9.12684e-5 v=0 16 16  1     
  16   O+   1       10.9772   33 .000155984 v=0 16  1 15     
  16   O+   2       14.4192   33 .00015343  v=0 16  3 13     
  16   O+   3       21.4348   33 .000148354 v=0 16  5 11     
  16   O+   4       31.9586   33 .000141052 v=0 16  7  9     
  16   O+   5       45.9906   33 .000131872 v=0 16  9  7     
  16   O+   6       63.5306   33 .000121233 v=0 16 11  5     
  16   O+   7       84.5785   33 .000109592 v=0 16 13  3     
  16   O+   8      109.1345   33 9.74167e-5 v=0 16 15  1     
  16   O-   1       10.8412   33 .000156086 v=0 16  1 16     
  16   O-   2       14.4192   33 .00015343  v=0 16  3 14     
  16   O-   3       21.4348   33 .000148354 v=0 16  5 12     
  16   O-   4       31.9586   33 .000141052 v=0 16  7 10     
  16   O-   5       45.9906   33 .000131872 v=0 16  9  8     
  16   O-   6       63.5306   33 .000121233 v=0 16 11  6     
  16   O-   7       84.5785   33 .000109592 v=0 16 13  4     
  16   O-   8      109.1345   33 9.74167e-5 v=0 16 15  2     
  17   E+   1       11.7744   35 .000164806 v=0 17  0 17     
  17   E+   2       13.5406   35 .000163416 v=0 17  2 15     
  17   E+   3       18.7975   35 .000159348 v=0 17  4 13     
  17   E+   4       27.5672   35 .000152785 v=0 17  6 11     
  17   E+   5       39.8451   35 .000144048 v=0 17  8  9     
  17   E+   6       55.6311   35 .000133545 v=0 17 10  7     
  17   E+   7       74.9251   35 .000121742 v=0 17 12  5     
  17   E+   8       97.7270   35 .000109131 v=0 17 14  3     
  17   E+   9      124.0370   35 9.6194e-5  v=0 17 16  1     
  17   E-   1       13.5340   35 .000163421 v=0 17  2 16     
  17   E-   2       18.7975   35 .000159348 v=0 17  4 14     
  17   E-   3       27.5672   35 .000152785 v=0 17  6 12     
  17   E-   4       39.8451   35 .000144048 v=0 17  8 10     
  17   E-   5       55.6311   35 .000133545 v=0 17 10  8     
  17   E-   6       74.9251   35 .000121742 v=0 17 12  6     
  17   E-   7       97.7270   35 .000109131 v=0 17 14  4     
  17   E-   8      124.0370   35 9.6194e-5  v=0 17 16  2     
  17   O+   1       12.2943   35 .000164396 v=0 17  1 16     
  17   O+   2       15.7284   35 .00016171  v=0 17  3 14     
  17   O+   3       22.7438   35 .00015636  v=0 17  5 12     
  17   O+   4       33.2677   35 .000148664 v=0 17  7 10     
  17   O+   5       47.2996   35 .000138989 v=0 17  9  8     
  17   O+   6       64.8396   35 .000127775 v=0 17 11  6     
  17   O+   7       85.8875   35 .000115507 v=0 17 13  4     
  17   O+   8      110.4435   35 .000102674 v=0 17 15  2     
  17   O+   9      138.5075   35 8.97446e-5 v=0 17 17  0     
  17   O-   1       12.1414   35 .000164516 v=0 17  1 17     
  17   O-   2       15.7283   35 .00016171  v=0 17  3 15     
  17   O-   3       22.7438   35 .00015636  v=0 17  5 13     
  17   O-   4       33.2677   35 .000148664 v=0 17  7 11     
  17   O-   5       47.2996   35 .000138989 v=0 17  9  9     
  17   O-   6       64.8396   35 .000127775 v=0 17 11  7     
  17   O-   7       85.8875   35 .000115507 v=0 17 13  5     
  17   O-   8      110.4435   35 .000102674 v=0 17 15  3     
  17   O-   9      138.5075   35 8.97446e-5 v=0 17 17  1     
  18   E+   1       13.1587   37 .000173071 v=0 18  0 18     
  18   E+   2       14.9279   37 .000171608 v=0 18  2 16     
  18   E+   3       20.1836   37 .000167337 v=0 18  4 14     
  18   E+   4       28.9533   37 .000160445 v=0 18  6 12     
  18   E+   5       41.2312   37 .00015127  v=0 18  8 10     
  18   E+   6       57.0171   37 .000140241 v=0 18 10  8     
  18   E+   7       76.3111   37 .000127846 v=0 18 12  6     
  18   E+   8       99.1130   37 .000114603 v=0 18 14  4     
  18   E+   9      125.4230   37 .000101017 v=0 18 16  2     
  18   E+  10      155.2410   37 8.75566e-5 v=0 18 18  0     
  18   E-   1       14.9197   37 .000171615 v=0 18  2 17     
  18   E-   2       20.1836   37 .000167337 v=0 18  4 15     
  18   E-   3       28.9533   37 .000160445 v=0 18  6 13     
  18   E-   4       41.2312   37 .00015127  v=0 18  8 11     
  18   E-   5       57.0171   37 .000140241 v=0 18 10  9     
  18   E-   6       76.3111   37 .000127846 v=0 18 12  7     
  18   E-   7       99.1130   37 .000114603 v=0 18 14  5     
  18   E-   8      125.4230   37 .000101017 v=0 18 16  3     
  18   E-   9      155.2410   37 8.75566e-5 v=0 18 18  1     
  18   O+   1       13.6889   37 .000172631 v=0 18  1 17     
  18   O+   2       17.1146   37 .000169818 v=0 18  3 15     
  18   O+   3       24.1299   37 .0001642   v=0 18  5 13     
  18   O+   4       34.6537   37 .000156118 v=0 18  7 11     
  18   O+   5       48.6856   37 .000145958 v=0 18  9  9     
  18   O+   6       66.2256   37 .000134182 v=0 18 11  7     
  18   O+   7       87.2736   37 .000121298 v=0 18 13  5     
  18   O+   8      111.8295   37 .000107822 v=0 18 15  3     
  18   O+   9      139.8935   37 9.42443e-5 v=0 18 17  1     
  18   O-   1       13.5180   37 .000172773 v=0 18  1 18     
  18   O-   2       17.1145   37 .000169818 v=0 18  3 16     
  18   O-   3       24.1299   37 .0001642   v=0 18  5 14     
  18   O-   4       34.6537   37 .000156118 v=0 18  7 12     
  18   O-   5       48.6856   37 .000145958 v=0 18  9 10     
  18   O-   6       66.2256   37 .000134182 v=0 18 11  8     
  18   O-   7       87.2736   37 .000121298 v=0 18 13  6     
  18   O-   8      111.8295   37 .000107822 v=0 18 15  4     
  18   O-   9      139.8935   37 9.42443e-5 v=0 18 17  2     
  19   E+   1       14.6198   39 .000181152 v=0 19  0 19     
  19   E+   2       16.3925   39 .000179618 v=0 19  2 17     
  19   E+   3       21.6467   39 .000175149 v=0 19  4 15     
  19   E+   4       30.4163   39 .000167935 v=0 19  6 13     
  19   E+   5       42.6942   39 .000158332 v=0 19  8 11     
  19   E+   6       58.4801   39 .000146788 v=0 19 10  9     
  19   E+   7       77.7741   39 .000133814 v=0 19 12  7     
  19   E+   8      100.5761   39 .000119953 v=0 19 14  5     
  19   E+   9      126.8860   39 .000105733 v=0 19 16  3     
  19   E+  10      156.7040   39 9.16441e-5 v=0 19 18  1     
  19   E-   1       16.3824   39 .000179627 v=0 19  2 18     
  19   E-   2       21.6467   39 .000175149 v=0 19  4 16     
  19   E-   3       30.4163   39 .000167935 v=0 19  6 14     
  19   E-   4       42.6942   39 .000158332 v=0 19  8 12     
  19   E-   5       58.4801   39 .000146788 v=0 19 10 10     
  19   E-   6       77.7741   39 .000133814 v=0 19 12  8     
  19   E-   7      100.5761   39 .000119953 v=0 19 14  6     
  19   E-   8      126.8860   39 .000105733 v=0 19 16  4     
  19   E-   9      156.7040   39 9.16441e-5 v=0 19 18  2     
  19   O+   1       15.1609   39 .000180683 v=0 19  1 18     
  19   O+   2       18.5779   39 .000177746 v=0 19  3 16     
  19   O+   3       25.5930   39 .000171865 v=0 19  5 14     
  19   O+   4       36.1168   39 .000163406 v=0 19  7 12     
  19   O+   5       50.1487   39 .000152771 v=0 19  9 10     
  19   O+   6       67.6886   39 .000140446 v=0 19 11  8     
  19   O+   7       88.7366   39 .000126961 v=0 19 13  6     
  19   O+   8      113.2926   39 .000112856 v=0 19 15  4     
  19   O+   9      141.3565   39 9.86441e-5 v=0 19 17  2     
  19   O+  10      172.9285   39 8.47835e-5 v=0 19 19  0     
  19   O-   1       14.9710   39 .000180847 v=0 19  1 19     
  19   O-   2       18.5778   39 .000177746 v=0 19  3 17     
  19   O-   3       25.5930   39 .000171865 v=0 19  5 15     
  19   O-   4       36.1168   39 .000163406 v=0 19  7 13     
  19   O-   5       50.1487   39 .000152771 v=0 19  9 11     
  19   O-   6       67.6886   39 .000140446 v=0 19 11  9     
  19   O-   7       88.7366   39 .000126961 v=0 19 13  7     
  19   O-   8      113.2926   39 .000112856 v=0 19 15  5     
  19   O-   9      141.3565   39 9.86441e-5 v=0 19 17  3     
  19   O-  10      172.9285   39 8.47835e-5 v=0 19 19  1     
  20   E+   1       16.1576   41 .000189043 v=0 20  0 20     
  20   E+   2       17.9344   41 .000187438 v=0 20  2 18     
  20   E+   3       23.1869   41 .000182776 v=0 20  4 16     
  20   E+   4       31.9564   41 .000175248 v=0 20  6 14     
  20   E+   5       44.2342   41 .000165227 v=0 20  8 12     
  20   E+   6       60.0202   41 .00015318  v=0 20 10 10     
  20   E+   7       79.3141   41 .000139642 v=0 20 12  8     
  20   E+   8      102.1161   41 .000125176 v=0 20 14  6     
  20   E+   9      128.4261   41 .000110337 v=0 20 16  4     
  20   E+  10      158.2440   41 9.56349e-5 v=0 20 18  2     
  20   E+  11      191.5700   41 8.15086e-5 v=0 20 20  0     
  20   E-   1       17.9220   41 .00018745  v=0 20  2 19     
  20   E-   2       23.1869   41 .000182776 v=0 20  4 17     
  20   E-   3       31.9564   41 .000175248 v=0 20  6 15     
  20   E-   4       44.2342   41 .000165227 v=0 20  8 13     
  20   E-   5       60.0202   41 .00015318  v=0 20 10 11     
  20   E-   6       79.3141   41 .000139642 v=0 20 12  9     
  20   E-   7      102.1161   41 .000125176 v=0 20 14  7     
  20   E-   8      128.4261   41 .000110337 v=0 20 16  5     
  20   E-   9      158.2440   41 9.56349e-5 v=0 20 18  3     
  20   E-  10      191.5700   41 8.15086e-5 v=0 20 20  1     
  20   O+   1       16.7103   41 .000188542 v=0 20  1 19     
  20   O+   2       20.1182   41 .000185486 v=0 20  3 17     
  20   O+   3       27.1331   41 .000179349 v=0 20  5 15     
  20   O+   4       37.6568   41 .000170522 v=0 20  7 13     
  20   O+   5       51.6887   41 .000159424 v=0 20  9 11     
  20   O+   6       69.2286   41 .000146562 v=0 20 11  9     
  20   O+   7       90.2766   41 .00013249  v=0 20 13  7     
  20   O+   8      114.8326   41 .00011777  v=0 20 15  5     
  20   O+   9      142.8965   41 .00010294  v=0 20 17  3     
