   J  Sym   #        Energy    g Population Name J Ka Kc     
  17   E+   8      575.2980   35 .000451626 v=0 17 14  3     
  17   E+   9      687.6180   35 .000263533 v=0 17 16  1     
  17   E-   1      215.8740   35 .00253164  v=0 17  2 16     
  17   E-   2      238.3380   35 .002273071 v=0 17  4 14     
  17   E-   3      275.7780   35 .001899466 v=0 17  6 12     
  17   E-   4      328.1940   35 .001477261 v=0 17  8 10     
  17   E-   5      395.5860   35 .001069278 v=0 17 10  8     
  17   E-   6      477.9540   35 .000720329 v=0 17 12  6     
  17   E-   7      575.2980   35 .000451626 v=0 17 14  4     
  17   E-   8      687.6180   35 .000263533 v=0 17 16  2     
  17   O+   1      210.2580   35 .002600753 v=0 17  1 16     
  17   O+   2      225.2340   35 .002420508 v=0 17  3 14     
  17   O+   3      255.1860   35 .002096628 v=0 17  5 12     
  17   O+   4      300.1140   35 .001690221 v=0 17  7 10     
  17   O+   5      360.0180   35 .001268157 v=0 17  9  8     
  17   O+   6      434.8980   35 .000885544 v=0 17 11  6     
  17   O+   7      524.7540   35 .000575512 v=0 17 13  4     
  17   O+   8      629.5860   35 .000348101 v=0 17 15  2     
  17   O+   9      749.3940   35 .000195959 v=0 17 17  0     
  17   O-   1      210.2580   35 .002600753 v=0 17  1 17     
  17   O-   2      225.2340   35 .002420508 v=0 17  3 15     
  17   O-   3      255.1860   35 .002096628 v=0 17  5 13     
  17   O-   4      300.1140   35 .001690221 v=0 17  7 11     
  17   O-   5      360.0180   35 .001268157 v=0 17  9  9     
  17   O-   6      434.8980   35 .000885544 v=0 17 11  7     
  17   O-   7      524.7540   35 .000575512 v=0 17 13  5     
  17   O-   8      629.5860   35 .000348101 v=0 17 15  3     
  17   O-   9      749.3940   35 .000195959 v=0 17 17  1     
  18   E+   1      232.9020   37 .002466431 v=0 18  0 18     
  18   E+   2      240.3900   37 .002379429 v=0 18  2 16     
  18   E+   3      262.8540   37 .002136406 v=0 18  4 14     
  18   E+   4      300.2940   37 .001785263 v=0 18  6 12     
  18   E+   5      352.7100   37 .001388443 v=0 18  8 10     
  18   E+   6      420.1020   37 .001004989 v=0 18 10  8     
  18   E+   7      502.4700   37 .000677021 v=0 18 12  6     
  18   E+   8      599.8140   37 .000424473 v=0 18 14  4     
  18   E+   9      712.1340   37 .000247688 v=0 18 16  2     
  18   E+  10      839.4300   37 .000134514 v=0 18 18  0     
  18   E-   1      240.3900   37 .002379429 v=0 18  2 17     
  18   E-   2      262.8540   37 .002136406 v=0 18  4 15     
  18   E-   3      300.2940   37 .001785263 v=0 18  6 13     
  18   E-   4      352.7100   37 .001388443 v=0 18  8 11     
  18   E-   5      420.1020   37 .001004989 v=0 18 10  9     
  18   E-   6      502.4700   37 .000677021 v=0 18 12  7     
  18   E-   7      599.8140   37 .000424473 v=0 18 14  5     
  18   E-   8      712.1340   37 .000247688 v=0 18 16  3     
  18   E-   9      839.4300   37 .000134514 v=0 18 18  1     
  18   O+   1      234.7740   37 .002444387 v=0 18  1 17     
  18   O+   2      249.7500   37 .002274979 v=0 18  3 15     
  18   O+   3      279.7020   37 .001970571 v=0 18  5 13     
  18   O+   4      324.6300   37 .001588599 v=0 18  7 11     
  18   O+   5      384.5340   37 .001191911 v=0 18  9  9     
  18   O+   6      459.4140   37 .000832301 v=0 18 11  7     
  18   O+   7      549.2700   37 .00054091  v=0 18 13  5     
  18   O+   8      654.1020   37 .000327172 v=0 18 15  3     
  18   O+   9      773.9100   37 .000184177 v=0 18 17  1     
  18   O-   1      234.7740   37 .002444387 v=0 18  1 18     
  18   O-   2      249.7500   37 .002274979 v=0 18  3 16     
  18   O-   3      279.7020   37 .001970571 v=0 18  5 14     
  18   O-   4      324.6300   37 .001588599 v=0 18  7 12     
  18   O-   5      384.5340   37 .001191911 v=0 18  9 10     
  18   O-   6      459.4140   37 .000832301 v=0 18 11  8     
  18   O-   7      549.2700   37 .00054091  v=0 18 13  6     
  18   O-   8      654.1020   37 .000327172 v=0 18 15  4     
  18   O-   9      773.9100   37 .000184177 v=0 18 17  2     
  19   E+   1      258.7800   39 .002296319 v=0 19  0 19     
  19   E+   2      266.2680   39 .002215317 v=0 19  2 17     
  19   E+   3      288.7320   39 .001989056 v=0 19  4 15     
  19   E+   4      326.1720   39 .001662131 v=0 19  6 13     
  19   E+   5      378.5880   39 .001292681 v=0 19  8 11     
  19   E+   6      445.9800   39 .000935674 v=0 19 10  9     
  19   E+   7      528.3480   39 .000630326 v=0 19 12  7     
  19   E+   8      625.6920   39 .000395196 v=0 19 14  5     
  19   E+   9      738.0120   39 .000230605 v=0 19 16  3     
  19   E+  10      865.3080   39 .000125237 v=0 19 18  1     
  19   E-   1      266.2680   39 .002215317 v=0 19  2 18     
  19   E-   2      288.7320   39 .001989056 v=0 19  4 16     
  19   E-   3      326.1720   39 .001662131 v=0 19  6 14     
  19   E-   4      378.5880   39 .001292681 v=0 19  8 12     
  19   E-   5      445.9800   39 .000935674 v=0 19 10 10     
