   J  Sym   #        Energy    g Population Name J Ka Kc     
  17   O-   5       59.9056   35 .000239013 v=0 17  9  9     
  17   O-   6       79.6650   35 .000217403 v=0 17 11  7     
  17   O-   7      103.3767   35 .000194034 v=0 17 13  5     
  17   O-   8      131.0404   35 .000169926 v=0 17 15  3     
  17   O-   9      162.6561   35 .000146019 v=0 17 17  1     
  18   E+   1       22.1179   37 .000302873 v=0 18  0 18     
  18   E+   2       24.2994   37 .000299721 v=0 18  2 16     
  18   E+   3       30.1426   37 .000291438 v=0 18  4 14     
  18   E+   4       40.0180   37 .000277957 v=0 18  6 12     
  18   E+   5       53.8484   37 .000260118 v=0 18  8 10     
  18   E+   6       71.6316   37 .000238854 v=0 18 10  8     
  18   E+   7       93.3671   37 .000215209 v=0 18 12  6     
  18   E+   8      119.0547   37 .000190264 v=0 18 14  4     
  18   E+   9      148.6944   37 .000165053 v=0 18 16  2     
  18   E+  10      182.2861   37 .000140493 v=0 18 18  0     
  18   E-   1       24.1873   37 .000299882 v=0 18  2 17     
  18   E-   2       30.1425   37 .000291438 v=0 18  4 15     
  18   E-   3       40.0180   37 .000277957 v=0 18  6 13     
  18   E-   4       53.8484   37 .000260118 v=0 18  8 11     
  18   E-   5       71.6316   37 .000238854 v=0 18 10  9     
  18   E-   6       93.3671   37 .000215209 v=0 18 12  7     
  18   E-   7      119.0547   37 .000190264 v=0 18 14  5     
  18   E-   8      148.6944   37 .000165053 v=0 18 16  3     
  18   E-   9      182.2861   37 .000140493 v=0 18 18  1     
  18   O+   1       23.0345   37 .000301545 v=0 18  1 17     
  18   O+   2       26.6940   37 .000296298 v=0 18  3 15     
  18   O+   3       34.5856   37 .000285294 v=0 18  5 13     
  18   O+   4       46.4390   37 .000269528 v=0 18  7 11     
  18   O+   5       62.2459   37 .000249851 v=0 18  9  9     
  18   O+   6       82.0053   37 .000227261 v=0 18 11  7     
  18   O+   7      105.7169   37 .000202832 v=0 18 13  5     
  18   O+   8      133.3805   37 .000177631 v=0 18 15  3     
  18   O+   9      164.9962   37 .00015264  v=0 18 17  1     
  18   O-   1       22.3555   37 .000302528 v=0 18  1 18     
  18   O-   2       26.6890   37 .000296306 v=0 18  3 16     
  18   O-   3       34.5856   37 .000285294 v=0 18  5 14     
  18   O-   4       46.4390   37 .000269528 v=0 18  7 12     
  18   O-   5       62.2459   37 .000249851 v=0 18  9 10     
  18   O-   6       82.0053   37 .000227261 v=0 18 11  8     
  18   O-   7      105.7169   37 .000202832 v=0 18 13  6     
  18   O-   8      133.3805   37 .000177631 v=0 18 15  4     
  18   O-   9      164.9962   37 .00015264  v=0 18 17  2     
  19   E+   1       24.5629   39 .000315523 v=0 19  0 19     
  19   E+   2       26.7898   39 .000312171 v=0 19  2 17     
  19   E+   3       32.6145   39 .000303571 v=0 19  4 15     
  19   E+   4       42.4888   39 .00028953  v=0 19  6 13     
  19   E+   5       56.3189   39 .00027095  v=0 19  8 11     
  19   E+   6       74.1019   39 .000248799 v=0 19 10  9     
  19   E+   7       95.8374   39 .00022417  v=0 19 12  7     
  19   E+   8      121.5249   39 .000198187 v=0 19 14  5     
  19   E+   9      151.1646   39 .000171925 v=0 19 16  3     
  19   E+  10      184.7562   39 .000146344 v=0 19 18  1     
  19   E-   1       26.6528   39 .000312376 v=0 19  2 18     
  19   E-   2       32.6144   39 .000303572 v=0 19  4 16     
  19   E-   3       42.4888   39 .00028953  v=0 19  6 14     
  19   E-   4       56.3189   39 .00027095  v=0 19  8 12     
  19   E-   5       74.1019   39 .000248799 v=0 19 10 10     
  19   E-   6       95.8374   39 .00022417  v=0 19 12  8     
  19   E-   7      121.5249   39 .000198187 v=0 19 14  6     
  19   E-   8      151.1646   39 .000171925 v=0 19 16  4     
  19   E-   9      184.7562   39 .000146344 v=0 19 18  2     
  19   O+   1       25.5347   39 .000314056 v=0 19  1 18     
  19   O+   2       29.1685   39 .00030863  v=0 19  3 16     
  19   O+   3       37.0568   39 .000297172 v=0 19  5 14     
  19   O+   4       48.9097   39 .000280751 v=0 19  7 12     
  19   O+   5       64.7164   39 .000260254 v=0 19  9 10     
  19   O+   6       84.4756   39 .000236724 v=0 19 11  8     
  19   O+   7      108.1871   39 .000211278 v=0 19 13  6     
  19   O+   8      135.8507   39 .000185027 v=0 19 15  4     
  19   O+   9      167.4664   39 .000158996 v=0 19 17  2     
  19   O+  10      203.0341   39 .000134062 v=0 19 19  0     
  19   O-   1       24.7815   39 .000315192 v=0 19  1 19     
  19   O-   2       29.1617   39 .00030864  v=0 19  3 17     
  19   O-   3       37.0568   39 .000297172 v=0 19  5 15     
  19   O-   4       48.9097   39 .000280751 v=0 19  7 13     
  19   O-   5       64.7164   39 .000260254 v=0 19  9 11     
  19   O-   6       84.4756   39 .000236724 v=0 19 11  9     
  19   O-   7      108.1871   39 .000211278 v=0 19 13  7     
  19   O-   8      135.8507   39 .000185027 v=0 19 15  5     
  19   O-   9      167.4664   39 .000158996 v=0 19 17  3     
  19   O-  10      203.0341   39 .000134062 v=0 19 19  1     
  20   E+   1       27.1344   41 .000327638 v=0 20  0 20     
  20   E+   2       29.4130   41 .000324077 v=0 20  2 18     
  20   E+   3       35.2168   41 .000315181 v=0 20  4 16     
  20   E+   4       45.0898   41 .000300605 v=0 20  6 14     
  20   E+   5       58.9195   41 .000281314 v=0 20  8 12     
  20   E+   6       76.7024   41 .000258317 v=0 20 10 10     
  20   E+   7       98.4377   41 .000232745 v=0 20 12  8     
  20   E+   8      124.1252   41 .000205768 v=0 20 14  6     
  20   E+   9      153.7648   41 .000178502 v=0 20 16  4     
  20   E+  10      187.3564   41 .000151942 v=0 20 18  2     
  20   E+  11      224.9001   41 .000126905 v=0 20 20  0     
  20   E-   1       29.2476   41 .000324334 v=0 20  2 19     
  20   E-   2       35.2166   41 .000315181 v=0 20  4 17     
  20   E-   3       45.0898   41 .000300605 v=0 20  6 15     
  20   E-   4       58.9195   41 .000281314 v=0 20  8 13     
  20   E-   5       76.7024   41 .000258317 v=0 20 10 11     
  20   E-   6       98.4377   41 .000232745 v=0 20 12  9     
  20   E-   7      124.1252   41 .000205768 v=0 20 14  7     
  20   E-   8      153.7648   41 .000178502 v=0 20 16  5     
  20   E-   9      187.3564   41 .000151942 v=0 20 18  3     
  20   E-  10      224.9001   41 .000126905 v=0 20 20  1     
  20   O+   1       28.1655   41 .000326022 v=0 20  1 19     
  20   O+   2       31.7739   41 .000320428 v=0 20  3 17     
  20   O+   3       39.6582   41 .000308538 v=0 20  5 15     
  20   O+   4       51.5104   41 .00029149  v=0 20  7 13     
  20   O+   5       67.3168   41 .00027021  v=0 20  9 11     
  20   O+   6       87.0760   41 .000245779 v=0 20 11  9     
  20   O+   7      110.7874   41 .000219361 v=0 20 13  7     
  20   O+   8      138.4510   41 .000192105 v=0 20 15  5     
  20   O+   9      170.0666   41 .000165078 v=0 20 17  3     
  20   O+  10      205.6343   41 .00013919  v=0 20 19  1     
  20   O-   1       27.3347   41 .000327324 v=0 20  1 20     
  20   O-   2       31.7647   41 .000320443 v=0 20  3 18     
  20   O-   3       39.6582   41 .000308538 v=0 20  5 16     
  20   O-   4       51.5104   41 .00029149  v=0 20  7 14     
  20   O-   5       67.3168   41 .00027021  v=0 20  9 12     
  20   O-   6       87.0760   41 .000245779 v=0 20 11 10     
  20   O-   7      110.7874   41 .000219361 v=0 20 13  8     
  20   O-   8      138.4510   41 .000192105 v=0 20 15  6     
  20   O-   9      170.0666   41 .000165078 v=0 20 17  4     
  20   O-  10      205.6343   41 .00013919  v=0 20 19  2     
  21   E+   1       29.8322   43 .000339203 v=0 21  0 21     
  21   E+   2       32.1690   43 .000335423 v=0 21  2 19     
  21   E+   3       37.9495   43 .000326252 v=0 21  4 17     
